subject,age,education,age_english,age_spanish,comfortable_english,comfortable_spanish,classes_english,classes_spanish,residency_english,residency_spanish,family_english,family_spanish,work_english,work_spanish,percent_friends_english,percent_friends_spanish,percent_friends_other,percent_family_english,percent_family_spanish,percent_family_other,percent_work_english,percent_work_spanish,percent_work_other,talk_yourself_english,talk_yourself_spanish,talk_yourself_other,count_english,count_spanish,count_other,proficiency_speak_english,proficiency_speak_spanish,proficiency_understand_english,proficiency_understand_spanish,proficiency_read_english,proficiency_read_spanish,proficiency_write_english,proficiency_write_spanish,feel_myself_english,feel_myself_spanish,culture_english_speaking,culture_spanish_speaking,sound_native_english,sound_native_spanish,native_speaker_english,native_speaker_spanish,accents_spanish,accents_english,dominance_score,accents_coded,device,trial,response
S065,24,Masters,20,10,21,16,20,17,20,18,20,6,20,19,1,0.8,0.5,1,0.6,0,1,0.8,0.6,1,0.9,0.6,1,0.7,0.6,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,5,4,29.604,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S066,40,Masters,16,8,10,8,14,15,12,13,13,10,11,12,0.9,0.8,0.8,0.9,0.8,0.9,0.9,0.8,0.9,0.7,0.9,0.8,0.9,0.9,0.9,5,5,5,5,5,6,5,4,4,5,5,5,5,5,5,5,4,4,0.82,spa_accented_am_eng,Middle price earphones (e.g. those that come with the purchase of a smartphone),ad_i_spp_cr,2 and 3
S067,35,Masters,20,18,17,18,19,16,20,12,19,18,16,15,1,0.8,0,1,0.7,0,1,0.8,0,1,0.7,0,1,0.8,0,6,4,6,5,6,5,6,4,6,3,6,5,5,5,6,5,4,5,41.318,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S068,30,"College (B.A., B.S.)",0,20,0,20,20,0,20,20,20,0,10,2,0.9,0.1,0,1,0,0,0.9,0.1,0,1,0,0,0.9,0.1,0,6,2,6,3,6,3,6,2,6,2,5,2,6,3,6,2,2,5,142.392,spa_accented_cast_spa,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S069,50,Masters,2,7,4,8,5,10,4,12,2,6,20,20,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,1,0.9,0.8,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5,4,5,23.248,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S070,39,Masters,17,14,18,13,17,14,14,12,17,15,11,10,0.8,0.7,0.4,0.7,0.6,0.5,0.9,0.5,0.3,0.9,0.6,0.5,0.8,0.6,0.4,6,5,5,4,5,4,6,3,4,3,5,3,5,4,6,4,3,4,35.96,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
S071,40,Some college,20,19,20,20,20,19,19,19,20,20,19,20,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.9,0.9,5,5,5,5,5,5,5,6,5,4,5,5,5,4,5,5,4,4,3.996,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S072,47,"College (B.A., B.S.)",0,1,1,2,4,6,20,20,20,20,19,18,1,0.8,0.1,1,0.8,0.1,0.9,0.8,0.3,0.9,0.8,0.3,1,0.9,0.3,6,5,6,5,6,5,6,6,6,5,6,4,6,5,5,4,4,5,28.424,,External speakers attached to computer/laptop,ad_i_spp_cr,1 and 2
S073,26,"College (B.A., B.S.)",12,20,13,21,15,20,12,20,10,20,13,20,0.8,0.9,0.1,0.8,1,0,0.7,1,0.2,0.6,1,0,0.7,0.9,0.1,5,6,4,6,3,6,3,5,4,6,5,6,3,6,5,6,5,4,-49.58,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S074,67,"College (B.A., B.S.)",0,15,0,16,20,20,20,20,20,20,20,20,1,0.8,0.1,1,0.8,0.2,1,0.9,0.2,1,0.9,0.1,1,0.9,0.1,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,5,5,17.074,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S075,26,"College (B.A., B.S.)",10,20,12,20,13,20,10,20,11,20,14,20,0.8,1,0.1,0.7,1,0.1,0.8,1,0.1,0.8,1,0.1,0.5,0.9,0.1,6,6,5,6,6,5,4,5,5,6,4,5,5,5,6,5,5,4,-23.976,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S076,35,Masters,20,18,21,20,20,17,20,18,20,15,20,19,1,0.7,0,1,0.8,0,1,0.9,0,1,0.7,0,1,0.9,0,6,4,6,5,6,6,6,4,6,5,6,4,6,5,6,4,5,3,35.596,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S077,42,"College (B.A., B.S.)",0,0,0,12,16,10,20,20,20,20,20,9,0.8,0.2,0,0.7,0.3,0,0.9,0.1,0,0.5,0.5,0,0.7,0.3,0,6,4,6,5,6,4,6,3,5,1,6,4,5,3,6,3,2,5,71.196,spa_accented_am_eng,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,1 and 2
S078,24,"College (B.A., B.S.)",0,0,0,0,10,6,20,20,20,20,6,4,0.8,0.2,0,0.2,0.8,0,0.9,0.1,0,0.6,0.4,0,0.7,0.3,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,3,5,1,22.524,spa_accented_am_eng,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S079,32,Masters,0,13,0,18,7,8,0,11,2,8,5,7,0.4,0.3,0.6,0.4,0.3,0.3,0.4,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.4,5,4,4,4,4,3,2,3,3,4,4,4,3,3,3,3,3,4,-1.906,,Computer/laptop speakers,ad_i_spp_cr,1 and 2
S080,25,"College (B.A., B.S.)",0,10,3,10,10,14,20,11,20,10,20,10,1,0.2,0,0.9,0.2,0.1,1,0.3,0,1,0.1,0,0.7,0.1,0.1,6,2,6,2,6,3,6,2,6,2,6,2,6,2,6,3,2,5,119.868,,High price earphones or headphones (e.g. noise-cancelling headphones),ad_i_spp_cr,2 and 3
